IP,RTTavg,Label
y.y.y.y,150.635,phish
y.y.y.y,108.311,phish
y.y.y.y,105.668,phish
y.y.y.y,107.549,phish
y.y.y.y,106.185,phish
y.y.y.y,141.162,phish
y.y.y.y,170.366,phish
y.y.y.y,7.526,phish
y.y.y.y,129.221,phish
y.y.y.y,276.582,phish
y.y.y.y,276.587,phish
y.y.y.y,6.425,phish
y.y.y.y,254.941,phish
y.y.y.y,153.148,phish
y.y.y.y,6.904,phish
y.y.y.y,324.275,phish
y.y.y.y,152.625,phish
y.y.y.y,78.845,phish
y.y.y.y,6.542,phish
y.y.y.y,235.406,phish
y.y.y.y,148.562,phish
y.y.y.y,140.995,phish
y.y.y.y,255.45,phish
y.y.y.y,244.269,phish
y.y.y.y,200.462,phish
y.y.y.y,74.867,phish
y.y.y.y,8.064,phish
y.y.y.y,144.137,phish
y.y.y.y,160.268,phish
y.y.y.y,244.356,phish
y.y.y.y,255.103,phish
y.y.y.y,7.846,phish
y.y.y.y,1095.971,phish
y.y.y.y,200.864,phish
y.y.y.y,387.799,phish
y.y.y.y,162.681,phish
y.y.y.y,107.897,phish
y.y.y.y,6.698,phish
y.y.y.y,106.533,phish
y.y.y.y,106.602,phish
y.y.y.y,106.788,phish
y.y.y.y,106.659,phish
y.y.y.y,105.816,phish
y.y.y.y,12.11,phish
y.y.y.y,230.893,phish
y.y.y.y,232.97,phish
y.y.y.y,7.158,phish
y.y.y.y,166.103,phish
y.y.y.y,277.402,phish
y.y.y.y,277.039,phish
y.y.y.y,0.08,phish
y.y.y.y,121.489,phish
y.y.y.y,151.303,phish
y.y.y.y,127.923,phish
y.y.y.y,7.277,phish
y.y.y.y,235.941,phish
y.y.y.y,226.031,phish
y.y.y.y,5.745,phish
y.y.y.y,6.949,phish
y.y.y.y,165.483,phish
y.y.y.y,167.021,phish
y.y.y.y,261.792,phish
y.y.y.y,239.581,phish
y.y.y.y,126.322,phish
y.y.y.y,141.079,phish
y.y.y.y,271.529,phish
y.y.y.y,169.275,phish
y.y.y.y,133.132,phish
