IP,RTTavg,Label
x.x.x.x,7.416,legit
x.x.x.x,8.243,legit
x.x.x.x,6.527,legit
x.x.x.x,6.358,legit
x.x.x.x,6.798,legit
x.x.x.x,6.66,legit
x.x.x.x,7.255,legit
x.x.x.x,7.004,legit
x.x.x.x,7.933,legit
x.x.x.x,6.18,legit
x.x.x.x,7.247,legit
x.x.x.x,6.116,legit
x.x.x.x,6.376,legit
x.x.x.x,6.064,legit
x.x.x.x,5.942,legit
x.x.x.x,6.939,legit
x.x.x.x,8.554,legit
x.x.x.x,6.95,legit
x.x.x.x,7.184,legit
x.x.x.x,6.938,legit
x.x.x.x,105.551,legit
x.x.x.x,7.465,legit
x.x.x.x,105.539,legit
x.x.x.x,6.462,legit
x.x.x.x,6.801,legit
x.x.x.x,7.185,legit
x.x.x.x,6.371,legit
x.x.x.x,6.765,legit
x.x.x.x,6.388,legit
x.x.x.x,6.453,legit
x.x.x.x,98.85,legit
x.x.x.x,6.5,legit
x.x.x.x,6.481,legit
x.x.x.x,79.532,legit
x.x.x.x,6.858,legit
x.x.x.x,6.455,legit
x.x.x.x,6.49,legit
x.x.x.x,6.222,legit
x.x.x.x,164.822,legit
x.x.x.x,98.076,legit
x.x.x.x,6.77,legit
x.x.x.x,161.176,legit
x.x.x.x,7.428,legit
x.x.x.x,239.104,legit
x.x.x.x,241.73,legit
x.x.x.x,6.907,legit
x.x.x.x,265.234,legit
x.x.x.x,7.611,legit
x.x.x.x,7.254,legit
x.x.x.x,6.394,legit
x.x.x.x,6.528,legit
x.x.x.x,255.614,legit
x.x.x.x,6.585,legit
x.x.x.x,5.972,legit
x.x.x.x,5.87,legit
x.x.x.x,6.514,legit
x.x.x.x,8.312,legit
x.x.x.x,6.826,legit
x.x.x.x,6.699,legit
x.x.x.x,7.162,legit
x.x.x.x,244.723,legit
x.x.x.x,6.717,legit
x.x.x.x,118.503,legit
x.x.x.x,7.658,legit
x.x.x.x,113.597,legit
x.x.x.x,7.471,legit
x.x.x.x,6.545,legit
x.x.x.x,6.361,legit
x.x.x.x,115.774,legit
x.x.x.x,229.126,legit
x.x.x.x,5.771,legit
x.x.x.x,243.92,legit
x.x.x.x,254.01,legit
x.x.x.x,6.761,legit
x.x.x.x,5.783,legit
x.x.x.x,7.331,legit
x.x.x.x,7.563,legit
x.x.x.x,8.112,legit
x.x.x.x,7.194,legit
x.x.x.x,7.605,legit
x.x.x.x,7.066,legit
x.x.x.x,80.507,legit
x.x.x.x,7.216,legit
x.x.x.x,7.779,legit
x.x.x.x,98.852,legit
x.x.x.x,98.138,legit
x.x.x.x,98.682,legit
x.x.x.x,99.198,legit
x.x.x.x,244.9,legit
x.x.x.x,6.732,legit
x.x.x.x,7.278,legit
x.x.x.x,6.464,legit
x.x.x.x,6.531,legit
x.x.x.x,5.811,legit
x.x.x.x,7.129,legit
x.x.x.x,164.897,legit
x.x.x.x,229.991,legit
x.x.x.x,249.475,legit
x.x.x.x,252.575,legit
x.x.x.x,7.808,legit
x.x.x.x,7.493,legit
x.x.x.x,6.529,legit
x.x.x.x,239.586,legit
x.x.x.x,6.605,legit
x.x.x.x,6.802,legit
x.x.x.x,6.439,legit
x.x.x.x,6.455,legit
x.x.x.x,6.402,legit
x.x.x.x,7.105,legit
x.x.x.x,286.141,legit
x.x.x.x,252.386,legit
x.x.x.x,7.072,legit
x.x.x.x,7.947,legit
x.x.x.x,6.961,legit
x.x.x.x,5.926,legit
x.x.x.x,8.316,legit
x.x.x.x,8.269,legit
x.x.x.x,8.102,legit
x.x.x.x,137.54,legit
x.x.x.x,96.89,legit
x.x.x.x,100.363,legit
x.x.x.x,7.196,legit
